Company Name,Ticker,Optionable,Market Cap ,Avg Volume,Sector,Industry,Last Close,Beta,52 Week High,52 Week Low
"Epizyme, Inc.",EPZM,YES,1063.07,344593.16,Medical,Medical - Biomedical and Genetics,15.3,1.96,20.1,10.5
Equity Commonwealth,EQC,YES,3786.34,559609,Finance,REIT and Equity Trust - Other,30.43,0.08,32.34,28.1
"EQT GP Holdings, LP",EQGP,YES,6584.92,124156.9,Oils-Energy,Oil and Gas - Integrated - United States,24.74,1.26,30.81,21.97
"Equinix, Inc.",EQIX,YES,32291.78,468433.25,Finance,REIT and Equity Trust - Retail,407.58,0.51,492.98,381.82
"EQT Midstream Partners, LP",EQM,YES,4952.56,337171.25,Oils-Energy,Oil and Gas - Production and Pipelines,61.46,0.94,79.2,56.43
Equity Residential,EQR,YES,22241.13,2789492.5,Finance,REIT and Equity Trust - Residential,60.41,0.34,70.37,55.26
EQT Corporation,EQT,YES,12678.83,2073551.25,Oils-Energy,Oil and Gas - Exploration and Production - United States,47.94,0.73,67.02,45.73
"Era Group, Inc.",ERA,YES,209.23,71165.7,Transportation,Transportation - Airline,9.81,0.78,13.64,8.08
Enerplus Corporation,ERF,YES,2909.63,930549.38,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,11.89,1.35,12.08,6.52
"Eldorado Resorts, Inc.",ERI,YES,3178.47,775968.88,Consumer Discretionary,Gaming,41.15,1.04,41.5,17.8
Ericsson,ERIC,YES,25506.25,5846585,Computer and Technology,Wireless Equipment,7.65,0.82,7.78,5.6
Erie Indemnity Company,ERIE,YES,5471.9,24449.85,Finance,Insurance - Brokerage,118.46,0.42,128.7,110.89
"Energy Recovery, Inc.",ERII,YES,459.42,282318.59,Industrial Products,Pollution Control,8.51,5.31,11.23,6.18
Embraer-Empresa Brasileira de Aeronautica,ERJ,YES,5037.25,900809,Aerospace,Aerospace - Defense,27.43,0.15,27.95,18.02
Erin Energy Corp.,ERN,YES,581.41,45936.6,Oils-Energy,Oil and Gas - Exploration and Production - United States,2.7,1.92,3.95,1.25
Eros International PLC,EROS,YES,600.28,296183.91,Consumer Discretionary,Film and Television Production and Distribution,11.65,0.67,16.1,6.85
