Company Name,Ticker,Optionable,Market Cap ,Avg Volume,Sector,Industry,Last Close,Beta,52 Week High,52 Week Low
"Jack Henry & Associates, Inc.",JKHY,YES,9394.23,225351.84,Computer and Technology,Electronics - Miscellaneous Services,121.59,0.78,126.53,95.63
JinkoSolar Holding Company Limited,JKS,YES,728.11,484827.66,Oils-Energy,Solar,18.88,1.99,29.89,16.37
Jones Lang LaSalle Incorporated,JLL,YES,7903.5,357109.16,Finance,Real Estate - Operations,173.74,1.65,177.3,110.54
Jumei International Holding Limited,JMEI,YES,373.91,751491.19,Retail-Wholesale,Retail - Miscellaneous,2.55,1.56,3.94,2.02
"Jounce Therapeutics, Inc.",JNCE,YES,609.01,323602.56,Medical,Medical - Drugs,18.76,6.33,28.46,11.17
Johnson & Johnson,JNJ,YES,340272.47,6589361.5,Medical,Large Cap Pharmaceuticals,126.83,0.74,148.14,121.76
SPDR Bloomberg Barclays High Yield Bond ETF,JNK,YES,9616.56,12417692,Finance,Financial - Investment Funds,35.88,0.36,37.42,35.61
"Juniper Pharmaceuticals, Inc.",JNP,YES,94.94,113972.2,Medical,Medical - Drugs,8.65,0.46,12.75,3.95
"Juniper Networks, Inc.",JNPR,YES,8363.6,4013826.75,Computer and Technology,Wireless Equipment,24.33,0.96,30.89,24.05
"51job, Inc.",JOBS,YES,5432.5,234918.91,Consumer Staples,Publishing - Periodicals,87.93,1,92.51,39.75
St. Joe Company (The),JOE,YES,1176,266655.56,Finance,Real Estate - Development,18,0.91,19.75,17.1
"Jones Energy, Inc.",JONE,YES,64.21,1127541.75,Oils-Energy,Oil and Gas - Exploration and Production - United States,0.6316,2.67,2.4,0.59
Jupai Holdings Limited,JP,YES,630.95,124694.4,Finance,Financial - Investment Management,19.54,1.06,28.4,7.45
JPMorgan Chase & Co.,JPM,YES,380707.22,16361286,Finance,Banks - Major Regional,110.93,1.24,118.77,82.15
China Finance Online Co. Limited,JRJC,YES,49.37,99942.7,Computer and Technology,Internet - Services,2.09,1.97,3.28,1.32
"John Wiley & Sons, Inc.",JW.A,YES,3781.67,231993.16,Consumer Staples,Publishing - Books,66.45,0.99,67.85,49.75
"Nordstrom, Inc.",JWN,YES,8079.37,1287082.13,Retail-Wholesale,Retail - Apparel and Shoes,48.15,0.83,53.56,38.3
Kellogg Company,K,YES,20924.71,2061398,Consumer Staples,Food - Miscellaneous,60.52,0.45,73.49,58.87
Kadant Inc,KAI,YES,1062.55,53392.65,Industrial Products,Manufacturing - General Industrial ,96.35,1.37,113.6,60.45
Kaiser Aluminum Corporation,KALU,YES,1710.97,97877.1,Industrial Products,Metal Products - Procurement and Fabrication,102.1,0.61,116.1,80.4
Kaman Corporation,KAMN,YES,1772.31,103106.5,Industrial Products,Manufacturing - General Industrial ,63.75,0.79,64.5,47.01
"iKang Healthcare Group, Inc.",KANG,YES,1387.45,723350.13,Medical,Medical Services,19.98,0.07,20.11,11.73
"KAR Auction Services, Inc",KAR,YES,7139.8,723516.19,Retail-Wholesale,Retail - Miscellaneous,53.12,1.11,56.64,40.31
KB Financial Group Inc,KB,YES,22432.11,157688.55,Finance,Banks - Foreign,55.94,1.32,63.9,43.47
"Kimball International, Inc.",KBAL,YES,632.35,82223.75,Consumer Discretionary,Furniture,16.87,1.55,20.72,15.91
KB Home,KBH,YES,2273.17,1645160.75,Construction,Building Products - Home Builders,26.2,1.43,38.58,20.1
"KBR, Inc.",KBR,YES,2348.09,1914323.38,Construction,Engineering - R and D Services,16.74,1.12,21.59,13.63
"KCAP Financial, Inc.",KCAP,YES,115.43,86798.7,Finance,Financial - SBIC & Commercial Industry,3.09,1.51,3.98,2.96
"Kadmon Holdings, Inc.",KDMN,YES,330.3,297854.19,Medical,Medical - Biomedical and Genetics,4.2,3.97,5.83,2.09
"Kimball Electronics, Inc.",KE,YES,448.47,61833.7,Computer and Technology,Electronics - Miscellaneous Products,16.8,0.96,22.2,15.9
"Key Energy Services, Inc.",KEG,YES,301.24,68976.75,Oils-Energy,Oil and Gas - Drilling,14.9,2.82,24.58,8.72
"Kelly Services, Inc.",KELYA,YES,1165.14,148821.55,Business Services,Staffing Firms,30.32,1.01,31.61,21.21
Kemet Corporation,KEM,YES,1031.92,759020.31,Computer and Technology,Electronics - Miscellaneous Components,18.23,3.62,27.14,11.2
Korea Electric Power Corporation,KEP,YES,21865.29,546412.19,Utilities,Utility - Electric Power,17.03,0.49,20.38,14.28
"Keryx Biopharmaceuticals, Inc.",KERX,YES,539.86,981735.13,Medical,Medical - Biomedical and Genetics,4.53,2.61,8.25,4.01
Kirby Corporation,KEX,YES,5087.21,538670.94,Transportation,Transportation - Shipping,85.25,0.94,87.55,60.05
KeyCorp,KEY,YES,21075.85,9626050,Finance,Banks - Major Regional,19.87,1.04,22.15,16.47
Keysight Technologies Inc.,KEYS,YES,10303.7,737109.25,Computer and Technology,Electronics - Measuring Instruments,54.23,1,54.62,35.88
The KEYW Holding Corporation,KEYW,YES,408.47,418964.91,Computer and Technology,Computer - Services,8.19,0.64,9.62,4.98
"Kforce, Inc.",KFRC,YES,743.17,120160.75,Business Services,Staffing Firms,28.3,1.53,29.3,17.45
Korn/Ferry International,KFY,YES,3042.66,427138.91,Business Services,Staffing Firms,53.84,1.21,55.21,31.43
Kinross Gold Corporation,KGC,YES,4837.27,9999570,Basic Materials,Mining - Gold,3.87,0.31,4.89,3.36
The Kraft Heinz Company,KHC,YES,70304.77,5115226,Consumer Staples,Food - Miscellaneous,57.68,0.59,93.77,57.68
Kimco Realty Corporation,KIM,YES,5684.08,4046227.5,Finance,REIT and Equity Trust - Retail,13.36,0.5,22.23,13.33
"Kindred Biosciences, Inc.",KIN,YES,257.93,99214.8,Medical,Medical - Biomedical and Genetics,9.15,0.08,9.65,6.65
"Kirkland's, Inc.",KIRK,YES,165.42,192436.25,Retail-Wholesale,Retail - Home Furnishings,10.5,1.11,13.2,8.23
KKR & Co. L.P.,KKR,YES,10373.72,2352331,Finance,Financial - Investment Management,21.31,1.58,24.41,17.04
KLA-Tencor Corporation,KLAC,YES,15743.08,1318435.5,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,101,1.49,122.39,88.14
"Kulicke and Soffa Industries, Inc.",KLIC,YES,1715.16,446812.66,Computer and Technology,Electronics - Manufacturing Machinery,24.29,1.21,28.52,18.48
KLX Inc.,KLXI,YES,3764.41,393725.84,Aerospace,Aerospace - Defense Equipment,74.19,1.18,74.35,46.14
Kimberly-Clark Corporation,KMB,YES,34551.58,2623912.75,Consumer Staples,Consumer Products - Staples,98.52,0.66,133.52,98.52
"KMG Chemicals, Inc.",KMG,YES,999.05,119619.15,Basic Materials,Chemical - Specialty,64.99,0.4,70.04,44.6
"Kinder Morgan, Inc.",KMI,YES,36267.74,15117178,Oils-Energy,Oil and Gas - Production and Pipelines,16.44,0.64,20.92,14.81
Kemper Corporation,KMPR,YES,3036.33,195957.09,Finance,Insurance - Multi line,59,1.08,70.95,36.7
Kennametal Inc.,KMT,YES,3181.36,925326.31,Industrial Products,Manufacturing - Tools & Related Products,39,2.03,51.92,33.4
"CarMax, Inc.",KMX,YES,11096.83,2187579.5,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,61.36,1.55,76.81,57.88
Knowles Corporation,KN,YES,1035.42,941556.63,Computer and Technology,Communication - Components,11.57,0.87,19.59,11.53
"Kindred Healthcare, Inc.",KND,YES,813.58,1975729.75,Medical,Medical - Nursing Homes,8.9,1.12,11.7,5.6
"Kandi Technologies Group, Inc.",KNDI,YES,267.14,134007.34,Consumer Discretionary,Leisure and Recreation Products,4.95,2.77,9.2,3.55
"Knoll, Inc.",KNL,YES,1021.2,176428.91,Business Services,Business - Office Products,20.63,1.01,24.43,17.68
KNOT Offshore Partners LP,KNOP,YES,681.67,70324.45,Transportation,Transportation - Shipping,20.85,0.68,24.35,19.35
"Kinsale Capital Group, Inc.",KNSL,YES,1137.26,106788.6,Finance,Insurance - Property and Casualty,53.97,0.13,53.97,33.56
Swift Transportation Company,KNX,YES,7729.84,2607066.5,Transportation,Transportation - Truck,43.38,1.69,49.79,30.9
Coca-Cola Company (The),KO,YES,187614.53,10841219,Consumer Staples,Beverages - Soft drinks,43.98,0.72,48.53,42.33
Eastman Kodak Company,KODK,YES,206.47,458396.44,Computer and Technology,Electronics - Miscellaneous Products,4.85,2.64,11.55,3.05
Coca Cola Femsa S.A.B. de C.V.,KOF,YES,13589.93,84676.3,Consumer Staples,Beverages - Soft drinks,65.56,1.03,90.9,64.7
Koppers Holdings Inc.,KOP,YES,942.3,111064.95,Basic Materials,Chemical - Diversified ,45.35,0.89,51.45,34
Kopin Corporation,KOPN,YES,244.88,357303.84,Computer and Technology,Electronics - Miscellaneous Products,3.2,0.9,4.52,2.9
Michael Kors Holdings Limited,KORS,YES,10324.56,1646719.38,Consumer Discretionary,Textile - Apparel,67.85,0.17,68.14,33.05
Kosmos Energy Ltd.,KOS,YES,2722.46,2129625.75,Oils-Energy,Oil and Gas - Exploration and Production - International,6.88,1.53,8.53,5.3
Karyopharm Therapeutics Inc.,KPTI,YES,697.62,597040.13,Medical,Medical - Drugs,14.05,3.61,17.25,8.12
The Kroger Co.,KR,YES,21173.1,7800193,Retail-Wholesale,Retail - Supermarkets,24.79,1.04,31.34,19.94
Kraton Corporation,KRA,YES,1643.33,229085.75,Basic Materials,Chemical - Specialty,51.85,1.18,52.81,31.2
Kilroy Realty Corporation,KRC,YES,6807.82,406313.25,Finance,REIT and Equity Trust - Other,68.96,0.67,77.09,63.72
Kite Realty Group Trust,KRG,YES,1197.15,623741.88,Finance,REIT and Equity Trust - Retail,14.32,0.47,21.87,14.32
Kornit Digital Ltd.,KRNT,YES,509.02,261690.3,Industrial Products,Commercial Printing,14.85,0.24,22.4,12.55
Kearny Financial,KRNY,YES,1068.33,604746.88,Finance,Financial - Savings and Loan,13.55,0.53,15.5,12.85
Kronos Worldwide Inc,KRO,YES,2879.01,293363,Basic Materials,Chemical - Diversified ,24.84,2.37,29.24,16.49
KapStone Paper and Packaging Corporation,KS,YES,3365.61,878834.81,Basic Materials,Paper and Related Products,34.42,3.02,35.01,19.93
Kohl's Corporation,KSS,YES,10018.13,3578582.75,Retail-Wholesale,Retail - Regional Department Stores,59.63,1.27,68.83,35.32
Kansas City Southern,KSU,YES,11428.67,1173537,Transportation,Transportation - Rail,111.39,0.78,113.7,86.78
KT Corporation,KT,YES,6516.23,746557.19,Computer and Technology,Wireless Non-US ,13.3,0.56,18.6,12.9
Key Tronic Corporation,KTCC,YES,76.13,9852.3,Computer and Technology,Computer - Peripheral Equipment,7.0759,0.09,7.93,6.7
"Kratos Defense & Security Solutions, Inc.",KTOS,YES,1166.59,1779389.38,Aerospace,Aerospace - Defense Equipment,11.27,1.86,13.81,7.6
"K2M Group Holdings, Inc.",KTWO,YES,843.51,174899.7,Medical,Medical - Instruments,19.44,1.47,25.71,17.08
"Kura Oncology, Inc.",KURA,YES,520.32,214858.16,Medical,Medical - Biomedical and Genetics,15.6,4.21,23.4,6.05
"KVH Industries, Inc.",KVHI,YES,187.52,15565.2,Computer and Technology,Communication - Components,10.7,0.79,12.55,8
Kennedy-Wilson Holdings Inc.,KW,YES,2816.71,846585.81,Finance,Real Estate - Operations,18.65,1.29,22.5,16.15
Quaker Chemical Corporation,KWR,YES,2039.96,47550.85,Basic Materials,Chemical - Specialty,153.3,1.3,164.78,132.1
Loews Corporation,L,YES,16973.96,1334778.63,Finance,Insurance - Multi line,51.62,0.7,53.46,45.12
Multi-Color Corporation,LABL,YES,1376.82,88399.05,Industrial Products,Commercial Printing,67.35,0.87,87.5,63.35
"Lithia Motors, Inc.",LAD,YES,2510.76,302457,Retail-Wholesale,Automotive - Retail and Whole Sales,100.35,1.72,126.57,87.52
Ladder Capital Corp,LADR,YES,1560.2,1621095.25,Finance,REIT and Equity Trust,14.02,0.89,15.34,12.9
"Lakeland Industries, Inc.",LAKE,YES,109.97,25414.8,Industrial Products,Security and Safety Services,13.55,0.13,16.45,10.25
Lamar Advertising Company,LAMR,YES,5231.82,504721.69,Finance,REIT and Equity Trust - Other,62.3,1.05,78.39,62.1
Lancaster Colony Corporation,LANC,YES,3375.77,78206.8,Consumer Staples,Food - Miscellaneous,122.97,0.99,134.42,115.02
Gladstone Land Corporation,LAND,YES,188.68,126503.05,Finance,REIT and Equity Trust - Other,12.4,0.87,14.09,10.79
Laureate Education Inc.,LAUR,YES,2611.8,230517.95,Consumer Discretionary,Schools,13.93,0.74,18.51,10.53
Layne Christensen Company,LAYN,YES,293.98,137392.3,Construction,Engineering - R and D Services,14.76,0.47,16.54,7.24
Lazard Ltd,LAZ,YES,6869.82,556654.56,Finance,Financial - Investment Management,52.94,1.85,59.4,40.66
"L Brands, Inc.",LB,YES,9822.83,4173762.75,Retail-Wholesale,Retail - Apparel and Shoes,34.8,0.78,62.95,34.37
"Lakeland Bancorp, Inc.",LBAI,YES,949.12,120201.6,Finance,Banks - Northeast,20,0.84,21.65,17.65
Liberty Broadband Corporation,LBRDA,YES,14996.4,194453.45,Consumer Discretionary,Cable Television,82.7,1.41,103.12,81.08
Liberty Broadband Corporation,LBRDK,YES,15114.27,799295.13,Consumer Discretionary,Cable Television,83.35,1.4,103.55,81.24
Liberty Global PLC,LBTYA,YES,26616.2,1621963.75,Consumer Discretionary,Cable Television,32.89,1.61,38.49,28.69
Liberty Global PLC,LBTYK,YES,25734.12,2820267,Consumer Discretionary,Broadcast Radio and Television,31.8,1.54,36.7,27.85
"Libbey, Inc.",LBY,YES,122.92,245621.75,Consumer Discretionary,Household Appliances,5.58,1.21,10.91,4.8
LendingClub Corporation,LC,YES,1372.12,3845232.5,Finance,Financial - Miscellaneous Services,3.27,1.23,6.46,3.15
Lannett Co Inc,LCI,YES,599.82,561320.06,Medical,Medical - Drugs,15.85,2.5,29.25,14.7
LCI Industries,LCII,YES,2321.96,181651.3,Auto-Tires-Trucks,Automotive - Original Equipment,92.9,1.03,131.8,87.7
LCNB Corporation,LCNB,YES,187.49,15771.8,Finance,Banks - Northeast,18.7,0.29,22.95,18.3
"Lydall, Inc.",LDL,YES,825.21,76606.7,Conglomerates,Diversified Operations,47.55,1.44,59.95,43.6
"Leidos Holdings, Inc.",LDOS,YES,10032.67,804082,Aerospace,Aerospace - Defense,66.24,1.61,69.42,51.19
Lear Corporation,LEA,YES,12858.7,505005.94,Auto-Tires-Trucks,Automotive - Original Equipment,192.15,1.45,197.99,134.86
"Lincoln Electric Holdings, Inc.",LECO,YES,5698.34,366771.44,Industrial Products,Manufacturing - Tools & Related Products,86.84,1.1,100.13,85.03
"Lee Enterprises, Incorporated",LEE,YES,122.73,187885.45,Consumer Staples,Publishing - Newspapers,2.15,2.21,3.05,1.75
"Leggett & Platt, Incorporated",LEG,YES,5677.08,881743,Consumer Discretionary,Furniture,42.93,0.87,54.04,41.8
Leju Holdings Limited,LEJU,YES,150.7,156395.95,Finance,Real Estate - Operations,1.11,2.91,3.44,1.11
Lennar Corporation,LEN,YES,17736.7,5221821.5,Construction,Building Products - Home Builders,54.46,1.23,71.82,49.73
LIBERTY EXPED-A,LEXEA,YES,2284.05,310275.19,Computer and Technology,Internet - Services,39.88,1.09,57.67,36.96
China Life Insurance Company Limited,LFC,YES,78123.64,546333.56,Finance,Insurance - Life Insurance,13.82,1.58,17.76,13.55
Leaf Group Ltd.,LFGR,YES,176.13,30678.05,Computer and Technology,Internet - Services,7.2,0.86,10.1,6.45
"Littelfuse, Inc.",LFUS,YES,5055.92,106261.45,Computer and Technology,Electronics - Miscellaneous Components,203.09,0.99,223.19,152.28
Lifevantage Corporation,LFVN,YES,53.85,24739.9,Medical,Medical - Dental Supplies,3.79,0.48,6.43,2.92
Legacy Reserves LP,LGCY,YES,437.53,522742.25,Oils-Energy,Oil and Gas - Exploration and Production - United States,5.69,1.91,5.96,1.09
Lions Gate Entertainment Corp.,LGF.A,YES,5490.69,624123.5,Consumer Discretionary,Film and Television Production and Distribution,26.05,1.15,35.52,24.69
Lions Gate Entertainment Corp.,LGF.B,YES,3114.02,379035.44,Consumer Discretionary,Film and Television Production and Distribution,24.16,1.74,33.55,22.6
"LGI Homes, Inc.",LGIH,YES,1542.71,386775.91,Finance,Real Estate - Development,69.08,0.13,78.77,29.04
Ligand Pharmaceuticals Incorporated,LGND,YES,3545.78,228651.8,Medical,Medical - Biomedical and Genetics,167.22,0.91,182.62,104.39
Laboratory Corporation of America Holdings,LH,YES,16978.58,710353.63,Medical,Medical - Dental Supplies,166.62,0.94,178.11,137.51
LHC Group,LHCG,YES,1391.14,382361,Medical,Medical - Outpatient and Home Healthcare,76.08,0.7,76.08,52.78
LaSalle Hotel Properties,LHO,YES,3527.47,2370525.25,Finance,REIT and Equity Trust - Other,31.16,1.12,31.6,24.41
"aTyr Pharma, Inc.",LIFE,YES,70.02,33402.55,Medical,Medical - Biomedical and Genetics,2.35,3.48,6.3,2.35
"Lennox International, Inc.",LII,YES,8173.18,370772.84,Construction,Building Products - Air Conditioner and Heating,198.49,1.17,221.09,160.6
Liberty Global PLC,LILA,YES,3379.71,144927.25,Computer and Technology,Wireless National,19.74,1.56,26.99,19.17
Liberty Global PLC,LILAK,YES,3330.05,376739.31,Computer and Technology,Wireless National,19.45,1.6,26.82,18.91
Lincoln Educational Services Corporation,LINC,YES,44.96,7460.8,Consumer Discretionary,Schools,1.82,2.47,3.53,1.5
Iao Kun Group Holding Company Limited,LINU,YES,19.11,93177.9,Consumer Discretionary,Gaming,1.53,0.23,4.35,0.99
Fidelity Southern Corporation,LION,YES,614.73,126399.65,Finance,Banks - Southeast,22.74,1.22,24.66,20.6
"LightInTheBox Holding Co., Ltd.",LITB,YES,155.63,30421.65,Computer and Technology,Internet - Delivery Services,2.26,1.29,2.95,1.76
LivaNova PLC,LIVN,YES,4272.77,305999.44,Medical,Medical - Instruments,88.47,0.75,89.74,51.75
La Jolla Pharmaceutical Company,LJPC,YES,788.84,435819.56,Medical,Medical - Drugs,30.25,1.36,39.24,23.91
Lakeland Financial Corporation,LKFN,YES,1231.18,71213.5,Finance,Banks - Midwest,48.69,0.86,52.04,41.61
Link Motion Inc.,LKM,YES,208.14,344307,Business Services,Technology Services,2.13,1.53,4.43,1.53
LKQ Corporation,LKQ,YES,11870.85,1494858.25,Auto-Tires-Trucks,Automotive - Replacement Parts,38.34,0.98,43.47,29.01
LSC Communications,LKSD,YES,611.53,293164.94,Industrial Products,Commercial Printing,17.55,0.04,26.51,12.23
"Lumber Liquidators Holdings, Inc",LL,YES,671.8,576874.81,Retail-Wholesale,Building Products - Retail,23.58,1.74,40.46,21.05
L3 Technologies Inc.,LLL,YES,16815.8,583093.75,Aerospace,Electronics - Military,214.97,1.21,217.46,160.69
"Limelight Networks, Inc.",LLNW,YES,544.45,1594921.75,Computer and Technology,Internet - Services,4.92,2.42,5.96,2.65
Eli Lilly and Company,LLY,YES,87866.95,3637374,Medical,Large Cap Pharmaceuticals,80.2,0.26,87.89,74.21
"Legg Mason, Inc.",LM,YES,3188.86,726216.69,Finance,Financial - Investment Management,37.72,2.05,46.14,36.38
"LeMaitre Vascular, Inc.",LMAT,YES,773.15,130019.8,Medical,Medical - Products,40.06,0.54,41.02,25.14
Limoneira Co,LMNR,YES,345.01,16449.15,Consumer Staples,Agriculture - Operations,23.74,0.8,25.36,18.35
Luminex Corporation,LMNX,YES,985.03,179426.5,Medical,Medical - Instruments,22.17,0.11,22.44,18.25
Landmark Infrastructure Partners LP,LMRK,YES,370.08,54559.75,Finance,Real Estate - Operations,14.8,0.43,18.75,14.8
Lockheed Martin Corporation,LMT,YES,102405.69,1156205,Aerospace,Aerospace - Defense,358.6,0.72,361,267.32
LINE Corporation,LN,YES,8927.95,134574.91,Computer and Technology,Internet - Software,37.43,1.41,46.91,32.96
Lincoln National Corporation,LNC,YES,15762.56,1636346.5,Finance,Insurance - Life Insurance,72.22,1.94,85.91,63.63
Landec Corporation,LNDC,YES,376.25,74320.6,Consumer Staples,Food - Miscellaneous,13.65,0.82,14.85,11.65
"Cheniere Energy, Inc.",LNG,YES,13868.45,2012749.38,Oils-Energy,Oil and Gas - Exploration and Production - United States,58.31,1.55,59.99,40.8
Lindsay Corporation,LNN,YES,974.68,91143,Industrial Products,Manufacturing - Farm Equipment,90.91,0.31,95.05,82.79
Alliant Energy Corporation,LNT,YES,9645.24,1663901.13,Utilities,Utility - Electric Power,41.69,0.31,45.18,37.14
"Lantheus Holdings, Inc.",LNTH,YES,666.35,356112.56,Medical,Medical - Products,17.6,1.52,24.3,11.6
"Live Oak Bancshares, Inc.",LOB,YES,1015.55,99040.05,Finance,Banks - Southeast,28.75,0.16,29.6,20.95
"El Pollo Loco Holdings, Inc.",LOCO,YES,375.02,264951.75,Retail-Wholesale,Retail - Restaurants,9.7,0.32,14.4,9.25
Logitech International S.A.,LOGI,YES,6167.62,196964.25,Computer and Technology,Computer - Peripheral Equipment,37.56,0.9,43.38,30.8
"LogMein, Inc.",LOGM,YES,6147.12,397650.59,Computer and Technology,Computer - Services,117.45,1.4,133.8,103.05
"Grand Canyon Education, Inc.",LOPE,YES,5281.24,251087.55,Consumer Discretionary,Schools,109.36,1.19,110.62,71.61
"Loral Space and Communications, Inc.",LORL,YES,1240.37,106462.05,Computer and Technology,Satellite and Communication,40.1,1.21,51.25,37.15
"Lowe's Companies, Inc.",LOW,YES,70010.5,6299713,Retail-Wholesale,Building Products - Retail,84.35,1.32,107.4,72.56
"Loxo Oncology, Inc.",LOXO,YES,3996.35,364852.19,Medical,Medical - Drugs,133.06,2.32,135.2,42.42
Lipocine Inc.,LPCN,YES,31.9,177567.41,Medical,Medical - Drugs,1.5,0.52,5.26,1.18
Dorian LPG Ltd.,LPG,YES,440.45,233727.2,Transportation,Transportation - Shipping,7.99,0.95,9.46,6.41
"Laredo Petroleum, Inc.",LPI,YES,2561.17,3023338.5,Oils-Energy,Oil and Gas - Exploration and Production - United States,10.56,1.22,13.28,7.57
"LG Display Co., Ltd.",LPL,YES,8151.07,854550.19,Computer and Technology,Computer - Peripheral Equipment,11.39,0.73,16.87,11.33
LPL Financial Holdings Inc.,LPLA,YES,5546.11,945260.31,Finance,Financial - Investment Bank,61.5,1.62,65.99,38.52
"LifePoint Health, Inc.",LPNT,YES,1900.16,387237.34,Medical,Medical - Hospital,48.75,0.5,67.5,42.75
"LivePerson, Inc.",LPSN,YES,995.16,443890.81,Computer and Technology,Internet - Services,16.55,0.86,16.55,7
Liberty Property Trust,LPT,YES,5781.94,992809.31,Finance,REIT and Equity Trust - Other,39.21,0.74,45.29,38.63
Louisiana-Pacific Corporation,LPX,YES,4339.8,1309812.63,Construction,Building Products - Wood,29.94,1.55,31.06,22.28
La Quinta Holdings Inc.,LQ,YES,2295.21,1497920.25,Consumer Discretionary,Hotels and Motels,19.56,1.74,20.18,13.37
iShares iBoxx $ Investment Grade Corporate Bond ETF,LQD,YES,31890.54,4321480.5,Finance,Financial - Investment Funds,115.42,0.1,121.79,115.42
"Liquidity Services, Inc.",LQDT,YES,198,87465.95,Business Services,Auction and Valuation Services,6.2,0.62,7.9,4.4
LRAD Corporation,LRAD,YES,76.43,39667.8,Consumer Discretionary,Audio Video Production,2.37,0.62,2.54,1.31
Lam Research Corporation,LRCX,YES,31264.07,3771648,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,191.86,1.41,228.65,139.29
K12 Inc,LRN,YES,574.84,217997.2,Consumer Discretionary,Schools,13.88,0.03,20.91,12.96
Lattice Semiconductor Corporation,LSCC,YES,645.9,631184.88,Computer and Technology,Electronics - Semiconductors,5.2,1.54,7.08,5.07
"Life Storage, Inc.",LSI,YES,3979.75,399485.66,Finance,REIT and Equity Trust - Other,85.56,0.49,91.12,70.59
"Landstar System, Inc.",LSTR,YES,4543.29,414605.91,Transportation,Transportation - Truck,108,0.79,115.45,81.05
Liberty Media Corporation,LSXMA,YES,13977.12,337908.34,Computer and Technology,Satellite and Communication,41.58,1.95,46.13,36.43
"LTC Properties, Inc.",LTC,YES,1382.65,266590.09,Finance,REIT and Equity Trust - Other,34.89,0.11,52.65,34.89
LATAM Airlines Group S.A.,LTM,YES,9344.73,371663.56,Transportation,Transportation - Airline,15.41,1.75,17.19,10.97
PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,LTPZ,YES,246.44,15697.45,Finance,Financial - Investment Funds,66.248,0.09,69.23,64.28
"Liberty TripAdvisor Holdings, Inc.",LTRPA,YES,840.63,429183.91,Computer and Technology,Internet - Services,11.2,1.34,15.4,8.2
"LegacyTexas Financial Group, Inc.",LTXB,YES,2040.16,350805.69,Finance,Financial - Savings and Loan,42.27,1.27,45.82,34.87
"Luby's, Inc.",LUB,YES,78.06,24582.4,Retail-Wholesale,Retail - Restaurants,2.66,0.79,3.41,2.36
Leucadia National Corporation,LUK,YES,8699.69,3245419.75,Conglomerates,Diversified Operations,24.42,1.3,28.01,21.77
lululemon athletica inc.,LULU,YES,13090.37,2704352.5,Consumer Discretionary,Textile - Apparel,96.64,0.19,96.64,47.91
Southwest Airlines Co.,LUV,YES,32325.54,4701292,Transportation,Transportation - Airline,54.98,1.14,66.29,50.71
Las Vegas Sands Corp.,LVS,YES,58724.36,2992368.75,Consumer Discretionary,Gaming,74.44,1.65,79.03,56.77
Lamb Weston Holdings Inc.,LW,YES,9601.07,1532366.75,Consumer Staples,Food - Miscellaneous,65.66,0.78,65.66,40.9
"Luxoft Holding, Inc.",LXFT,YES,1338.45,188448.45,Computer and Technology,Computers - IT Services,39.55,1.64,66.4,38.75
Lexington Realty Trust,LXP,YES,1844.28,990131,Finance,REIT and Equity Trust - Other,7.66,0.88,10.59,7.65
"Lexicon Pharmaceuticals, Inc.",LXRX,YES,871.13,434483.25,Medical,Medical - Biomedical and Genetics,8.25,0.4,17.88,7.86
Lsb Industries Inc.,LXU,YES,168.18,183992.7,Conglomerates,Diversified Operations,5.88,4.4,11.64,5.51
LyondellBasell Industries N.V.,LYB,YES,42738.34,2438276,Basic Materials,Chemical - Diversified ,108.32,1.09,121.49,78.91
Lloyds Banking Group PLC,LYG,YES,67025.29,5285143,Finance,Banks - Foreign,3.72,0.89,4.19,3.27
LSI Industries Inc.,LYTS,YES,161.12,65970.05,Construction,Building Products - Lighting,6.3,1.67,9.95,5.48
"Live Nation Entertainment, Inc.",LYV,YES,8378.01,1990507.38,Consumer Discretionary,Leisure and Recreation Services,40.11,0.97,48.59,31.25
La-Z-Boy Incorporated,LZB,YES,1383.8,356834.31,Consumer Discretionary,Furniture,29.4,0.85,33.8,23.55
"Macy's, Inc.",M,YES,9284.21,7869630.5,Retail-Wholesale,Retail - Regional Department Stores,30.46,0.75,30.93,17.53
Mastercard Incorporated,MA,YES,184444.3,3765751.25,Business Services,Financial Transaction Services,175.43,1.16,183.24,114.27
"Mid-America Apartment Communities, Inc.",MAA,YES,10211.55,664007.19,Finance,REIT and Equity Trust - Residential,89.82,0.34,110.32,85.39
Macerich Company (The),MAC,YES,7938.42,1387975.75,Finance,REIT and Equity Trust - Retail,56.36,0.87,68.86,52.72
"Merrimack Pharmaceuticals, Inc.",MACK,YES,112.08,210414,Medical,Medical - Biomedical and Genetics,8.4,1.8,39.2,7.75
MAG Silver Corporation,MAG,YES,962.77,229548.2,Basic Materials,Mining - Silver,11.26,0.29,13.78,9.49
Magal Security Systems Ltd.,MAGS,YES,128.52,27404.5,Industrial Products,Security and Safety Services,5.58,0.86,6.85,4.25
Main Street Capital Corporation,MAIN,YES,2183.88,228324.41,Finance,Financial - SBIC & Commercial Industry,37.17,0.93,41.55,35.41
ManpowerGroup,MAN,YES,6609.53,683236.38,Business Services,Staffing Firms,99.9,1.34,136.02,99.9
